bar,dir,trigger,outcome
2022-04-26 09:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-04-26 09:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-04-26 09:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17150 exp=2024-10-03
2022-04-26 09:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-04-26 09:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-04-26 11:55:00,BULLISH,PendingFlip,FAIL:no_contract CE 17150 exp=2024-10-03
2022-04-26 12:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 17200 exp=2024-10-03
2022-04-26 13:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-04-26 15:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17150 exp=2024-10-03
2022-04-27 09:40:00,BEARISH,PendingFlip,FAIL:no_contract PE 17100 exp=2024-10-03
2022-04-27 09:45:00,BEARISH,PendingFlip,FAIL:no_contract PE 17100 exp=2024-10-03
2022-04-27 11:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 17000 exp=2024-10-03
2022-04-27 12:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 17100 exp=2024-10-03
2022-04-27 12:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 17000 exp=2024-10-03
2022-04-27 13:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 17000 exp=2024-10-03
2022-04-27 14:35:00,BEARISH,PendingFlip,FAIL:no_contract PE 17100 exp=2024-10-03
2022-04-27 15:10:00,BULLISH,PendingFlip,FAIL:no_contract CE 17000 exp=2024-10-03
2022-04-27 15:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 17100 exp=2024-10-03
2022-04-28 11:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-04-29 09:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 17200 exp=2024-10-03
2022-04-29 14:05:00,BEARISH,PendingFlip,FAIL:no_contract PE 17350 exp=2024-10-03
2022-05-02 11:35:00,BEARISH,PendingFlip,FAIL:no_contract PE 17050 exp=2024-10-03
2022-05-02 11:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 16950 exp=2024-10-03
2022-05-02 13:15:00,BEARISH,PendingFlip,FAIL:no_contract PE 17050 exp=2024-10-03
2022-05-02 15:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 17000 exp=2024-10-03
2022-05-04 13:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 16850 exp=2024-10-03
2022-05-04 14:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 16700 exp=2024-10-03
2022-05-05 09:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 16750 exp=2024-10-03
2022-05-05 09:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 16750 exp=2024-10-03
2022-05-05 09:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 16750 exp=2024-10-03
2022-05-05 09:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 16750 exp=2024-10-03
2022-05-05 09:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 16800 exp=2024-10-03
2022-05-05 09:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 16800 exp=2024-10-03
2022-05-05 09:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 16800 exp=2024-10-03
2022-05-05 11:05:00,BEARISH,PendingFlip,FAIL:no_contract PE 16950 exp=2024-10-03
2022-05-05 12:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 16850 exp=2024-10-03
2022-05-05 13:25:00,BEARISH,PendingFlip,FAIL:no_contract PE 16900 exp=2024-10-03
2022-05-05 15:10:00,BULLISH,PendingFlip,FAIL:no_contract CE 16650 exp=2024-10-03
2022-05-06 12:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 16350 exp=2024-10-03
2022-05-06 12:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 16400 exp=2024-10-03
2022-05-06 14:10:00,BULLISH,PendingFlip,FAIL:no_contract CE 16400 exp=2024-10-03
2022-05-06 15:10:00,BEARISH,PendingFlip,FAIL:no_contract PE 16450 exp=2024-10-03
2022-05-09 09:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 16300 exp=2024-10-03
2022-05-09 10:55:00,BEARISH,PendingFlip,FAIL:no_contract PE 16300 exp=2024-10-03
2022-05-09 11:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 16250 exp=2024-10-03
