entry_time,exit_time,type,entry_spot,sell_strike,buy_strike,sell_entry,buy_entry,sell_exit,buy_exit,net_credit,exit_spread,pnl_per_unit,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,is_next_expiry,qty,equity_at_entry,margin_at_entry,margin_req,elm_component,elm_raw,margin_util_pct
2025-04-23 10:05:00,2025-04-23 11:40:00,BEAR_CALL,24237.05,24250,24750,84.15,6.0,59.65,5.15,78.15,54.5,23.650000000000006,4611.750000000001,136.5328209185,4475.217179081501,Reversal,2025-04-24,0,False,False,195,1252114,68672,75539,0,94524,5.5
2025-04-23 11:40:00,2025-04-24 09:25:00,BULL_PUT,24239.2,24250,23750,97.1,8.35,26.4,6.5,88.75,19.9,68.85,13425.749999999998,131.2958610605,13294.454138939498,Reversal,2025-04-24,1,True,False,195,1256589,68678,75546,0,94533,5.5
2025-04-24 09:25:00,2025-04-25 09:15:00,BEAR_CALL,24253.1,24250,24750,235.65,56.35,249.35,45.75,179.3,203.6,-24.299999999999983,-4738.499999999996,247.817771273,-4986.317771272997,Reversal,2025-04-30,1,True,True,195,1269883,99033,108937,30316,94587,7.8
2025-04-25 09:15:00,2025-04-25 09:35:00,BULL_PUT,24325.7,24350,23850,170.8,47.0,200.1,54.95,123.80000000000001,145.14999999999998,-21.349999999999966,-4163.249999999994,217.65271729550003,-4380.902717295494,Reversal,2025-04-30,0,False,False,195,1264897,68923,75815,0,94870,5.4
2025-04-25 09:35:00,2025-04-25 12:35:00,BEAR_CALL,24231.25,24250,24750,210.85,35.75,71.7,14.5,175.1,57.2,117.89999999999999,22990.5,180.23781736400002,22810.262182636,Reversal,2025-04-30,0,False,False,195,1260516,68655,75521,0,94502,5.4
2025-04-25 12:35:00,2025-04-25 15:20:00,BULL_PUT,23984.25,24000,23500,204.0,60.5,163.0,51.6,143.5,111.4,32.099999999999994,6259.499999999999,216.61331123300002,6042.886688766999,Reversal,2025-04-30,0,False,False,195,1283326,67955,74751,0,93539,5.3
2025-04-25 15:20:00,2025-04-28 09:15:00,BEAR_CALL,24001.65,24000,24500,189.9,32.65,221.15,32.65,157.25,188.5,-31.25,-6093.75,221.45960850050002,-6315.2096085005,Reversal,2025-04-30,3,True,False,195,1289369,68005,74805,0,93606,5.3
2025-04-28 09:15:00,2025-04-29 09:40:00,BULL_PUT,24131.55,24150,23650,157.05,36.54,28.1,6.95,120.51000000000002,21.150000000000002,99.36000000000001,19375.200000000004,150.98260980319998,19224.217390196805,Reversal,2025-04-30,1,True,False,195,1283054,68373,75210,0,94113,5.3
2025-04-29 09:40:00,2025-04-30 15:15:00,BEAR_CALL,24316.6,24300,24800,122.9,6.55,55.65,0.1,116.35000000000001,55.55,60.80000000000001,11856.000000000002,144.78417347599998,11711.215826524001,Expiry,2025-04-30,1,True,False,195,1302278,68897,75787,0,94835,5.3
2025-05-02 09:15:00,2025-05-02 10:45:00,BULL_PUT,24410.5,24400,23900,187.15,66.8,124.75,40.6,120.35000000000001,84.15,36.2,7059.000000000001,198.634222859,6860.365777141001,Reversal,2025-05-08,0,False,False,195,1313990,69163,76079,0,95201,5.3
2025-05-02 10:45:00,2025-05-02 13:20:00,BEAR_CALL,24486.3,24500,25000,205.75,29.75,110.85,16.95,176.0,93.89999999999999,82.10000000000001,16009.500000000002,190.049776079,15819.450223921001,Reversal,2025-05-08,0,False,False,195,1320850,69378,76316,0,95497,5.3
2025-05-02 13:20:00,2025-05-06 09:50:00,BULL_PUT,24354.1,24350,23850,187.7,58.7,48.15,16.89,129.0,31.259999999999998,97.74000000000001,19059.300000000003,169.84266566719995,18889.457334332805,Reversal,2025-05-08,4,True,False,195,1336669,69003,75904,0,94981,5.2
2025-05-06 09:50:00,2025-05-07 09:25:00,BEAR_CALL,24404.5,24400,24900,102.2,6.4,76.05,3.25,95.8,72.8,23.0,4485.0,145.679744477,4339.320255523,Reversal,2025-05-08,1,True,False,195,1355559,69146,76061,0,95178,5.1
2025-05-07 09:25:00,2025-05-07 09:50:00,BULL_PUT,24427.2,24450,23950,129.44,26.35,141.25,31.6,103.09,109.65,-6.560000000000002,-1279.2000000000005,181.2704388032,-1460.4704388032005,Reversal,2025-05-08,0,False,False,195,1359898,69210,76131,0,95266,5.1
2025-05-07 09:50:00,2025-05-07 11:15:00,BEAR_CALL,24326.05,24350,24850,85.8,4.15,73.15,3.5,81.64999999999999,69.65,11.999999999999986,2339.9999999999973,140.188594358,2199.811405641997,Reversal,2025-05-08,0,False,False,195,1358438,68924,75816,0,94872,5.1
2025-05-07 11:15:00,2025-05-08 13:35:00,BULL_PUT,24394.6,24400,23900,90.0,17.7,34.0,1.14,72.3,32.86,39.44,7690.799999999999,130.8154295492,7559.984570450799,Reversal,2025-05-08,1,True,False,195,1360638,69118,76030,0,95139,5.1
2025-05-08 13:35:00,2025-05-09 11:25:00,BEAR_CALL,24341.45,24350,24850,221.6,36.7,96.9,15.05,184.89999999999998,81.85000000000001,103.04999999999997,20094.749999999993,190.5786192575,19904.171380742493,Reversal,2025-05-15,1,True,True,195,1368198,99394,109334,30427,94932,7.3
2025-05-09 11:25:00,2025-05-09 13:20:00,BULL_PUT,24093.9,24100,23600,267.8,122.55,292.64,136.25,145.25,156.39,-11.139999999999986,-2172.2999999999975,299.84849978119996,-2472.1484997811976,Reversal,2025-05-15,0,False,False,195,1388102,68266,75093,0,93966,4.9
2025-05-09 13:20:00,2025-05-12 09:15:00,BEAR_CALL,23977.95,24000,24500,229.4,45.75,527.6,147.69,183.65,379.91,-196.26000000000002,-38270.700000000004,352.09011923720004,-38622.7901192372,Reversal,2025-05-15,3,True,False,195,1385630,67938,74731,0,93514,4.9
2025-05-12 09:15:00,2025-05-13 09:20:00,BULL_PUT,24561.4,24550,24050,167.15,25.0,93.55,22.1,142.15,71.44999999999999,70.70000000000002,13786.500000000004,175.47438661400003,13611.025613386004,Reversal,2025-05-15,1,True,False,195,1347007,69591,76550,0,95789,5.2
2025-05-13 09:20:00,2025-05-13 09:35:00,BEAR_CALL,24782.5,24800,25300,217.0,42.35,175.6,35.04,174.65,140.56,34.09,6647.550000000001,217.5967637537,6429.9532362463015,Reversal,2025-05-15,0,False,False,195,1360618,70217,77239,0,96652,5.2
2025-05-13 09:35:00,2025-05-13 10:25:00,BULL_PUT,24834.7,24850,24350,236.7,57.3,264.7,65.5,179.39999999999998,199.2,-19.80000000000001,-3861.0000000000023,258.00400604600003,-4119.004006046002,Reversal,2025-05-15,0,False,False,195,1367048,70365,77401,0,96855,5.1
2025-05-13 10:25:00,2025-05-13 11:00:00,BEAR_CALL,24658.2,24650,25150,239.65,54.4,246.75,54.8,185.25,191.95,-6.699999999999989,-1306.4999999999977,250.525773128,-1557.0257731279978,Reversal,2025-05-15,0,False,False,195,1362929,69865,76851,0,96167,5.1
2025-05-13 11:00:00,2025-05-13 12:40:00,BULL_PUT,24805.5,24800,24300,233.25,57.75,263.8,55.4,175.5,208.4,-32.900000000000006,-6415.500000000001,254.035838726,-6669.535838726001,Reversal,2025-05-15,0,False,False,195,1361372,70282,77310,0,96741,5.2
2025-05-13 12:40:00,2025-05-14 09:20:00,BEAR_CALL,24644.05,24650,25150,177.1,32.85,140.65,14.0,144.25,126.65,17.599999999999994,3431.999999999999,189.99782109799997,3242.0021789019993,Reversal,2025-05-15,1,True,False,195,1354702,69825,76807,0,96112,5.2
2025-05-14 09:20:00,2025-05-14 12:35:00,BULL_PUT,24700.0,24700,24200,142.1,15.35,127.8,9.15,126.75,118.64999999999999,8.100000000000009,1579.5000000000016,173.788452572,1405.7115474280015,Reversal,2025-05-15,0,False,False,195,1357944,69983,76982,0,96330,5.2
2025-05-14 12:35:00,2025-05-14 15:25:00,BEAR_CALL,24621.4,24600,25100,119.25,6.25,119.2,6.25,113.0,112.95,0.04999999999999716,9.749999999999446,163.4244253985,-153.67442539850055,Reversal,2025-05-15,0,False,False,195,1359350,69761,76737,0,96023,5.1
2025-05-14 15:25:00,2025-05-15 09:35:00,BULL_PUT,24685.75,24700,24200,116.7,6.65,165.9,3.75,110.05,162.15,-52.10000000000001,-10159.500000000002,175.26916409000003,-10334.769164090001,Reversal,2025-05-15,1,True,False,195,1359196,69943,76937,0,96274,5.1
2025-05-15 09:35:00,2025-05-15 10:35:00,BEAR_CALL,24564.05,24550,25050,248.15,58.65,267.85,66.75,189.5,201.10000000000002,-11.600000000000023,-2262.0000000000045,262.53121668200004,-2524.5312166820045,Reversal,2025-05-22,0,False,True,195,1348861,100303,110334,30705,95800,7.4
2025-05-15 10:35:00,2025-05-15 11:10:00,BULL_PUT,24738.85,24750,24250,274.05,86.25,246.6,74.75,187.8,171.85,15.950000000000017,3110.250000000003,268.3349955395,2841.915004460503,Reversal,2025-05-22,0,False,True,195,1346337,101017,111119,30924,96482,7.5
2025-05-15 11:10:00,2025-05-15 13:05:00,BEAR_CALL,24617.25,24600,25100,280.2,77.55,318.7,88.75,202.64999999999998,229.95,-27.30000000000001,-5323.500000000002,293.544451376,-5617.044451376002,Reversal,2025-05-22,0,False,True,195,1349179,100520,110572,30772,96007,7.5
2025-05-15 13:05:00,2025-05-16 11:05:00,BULL_PUT,24814.95,24800,24300,236.85,73.9,108.5,30.25,162.95,78.25,84.69999999999999,16516.499999999996,205.561131185,16310.938868814996,Reversal,2025-05-22,1,True,True,195,1343562,101328,111460,31019,96778,7.5
2025-05-16 11:05:00,2025-05-21 09:30:00,BEAR_CALL,24956.5,24950,25450,208.65,44.4,43.65,4.59,164.25,39.06,125.19,24412.05,169.70979167270002,24242.3402083273,Reversal,2025-05-22,5,True,False,195,1359873,70710,77781,0,97330,5.2
2025-05-21 09:30:00,2025-05-21 11:45:00,BULL_PUT,24771.75,24750,24250,124.95,10.95,72.95,6.35,114.0,66.60000000000001,47.39999999999999,9242.999999999998,152.36265737600002,9090.637342623999,Reversal,2025-05-22,0,False,False,195,1384115,70187,77205,0,96610,5.1
2025-05-21 11:45:00,2025-05-21 13:15:00,BEAR_CALL,24823.7,24800,25300,151.25,15.8,121.7,12.6,135.45,109.10000000000001,26.34999999999998,5138.249999999996,175.5926932505,4962.6573067494965,Reversal,2025-05-22,0,False,False,195,1393206,70334,77367,0,96812,5.0
2025-05-21 13:15:00,2025-05-22 09:15:00,BULL_PUT,24826.55,24850,24350,151.0,14.5,204.8,11.15,136.5,193.65,-57.150000000000006,-11144.250000000002,198.51119211350002,-11342.761192113501,Reversal,2025-05-22,1,True,False,195,1398168,70342,77376,0,96824,5.0
2025-05-22 09:15:00,2025-05-22 14:45:00,BEAR_CALL,24643.05,24650,25150,280.2,78.9,173.05,37.7,201.29999999999998,135.35000000000002,65.94999999999996,12860.249999999993,238.3280989055,12621.921901094493,Reversal,2025-05-29,0,False,True,195,1386826,100626,110688,30804,96108,7.3
2025-05-22 14:45:00,2025-05-26 10:30:00,BULL_PUT,24576.4,24600,24100,216.8,60.3,83.85,20.2,156.5,63.64999999999999,92.85000000000001,18105.75,189.05746922449998,17916.6925307755,Reversal,2025-05-29,4,True,True,195,1399448,100354,110389,30721,95848,7.2
2025-05-26 10:30:00,2025-05-27 11:00:00,BEAR_CALL,24956.8,24950,25450,234.5,51.3,138.55,24.4,183.2,114.15,69.04999999999998,13464.749999999996,209.8039752125,13254.946024787496,Reversal,2025-05-29,1,True,False,195,1417364,70711,77782,0,97332,5.0
2025-05-27 11:00:00,2025-05-27 12:20:00,BULL_PUT,24872.8,24850,24350,224.5,47.2,158.94,33.0,177.3,125.94,51.360000000000014,10015.200000000003,214.82307285320002,9800.376927146803,Reversal,2025-05-29,0,False,False,195,1430619,70473,77520,0,97004,4.9
2025-05-27 12:20:00,2025-05-27 15:05:00,BEAR_CALL,24894.95,24900,25400,254.5,62.5,162.85,26.7,192.0,136.15,55.849999999999994,10890.749999999998,223.8373618265,10666.912638173499,Reversal,2025-05-29,0,False,False,195,1440420,70536,77589,0,97090,4.9
